N,Comparisons
1000,4521
2000,9257
3000,14017
4000,19169
5000,23787
6000,28937
7000,34236
8000,39867
9000,44715
10000,49942
11000,55381
12000,60881
13000,66089
14000,71909
15000,77589
16000,83814
17000,89176
18000,93945
19000,98997
20000,104874
21000,110442
22000,116360
23000,122491
24000,128445
25000,135125
26000,140829
27000,146747
28000,152994
29000,159137
30000,166054
31000,172923
32000,179227
33000,185372
34000,190562
35000,196288
36000,201706
37000,208073
38000,213334
39000,220257
40000,226525
41000,232926
42000,239153
43000,245908
44000,252457
45000,258954
46000,265230
47000,272114
48000,278721
49000,285649
50000,292366
51000,299147
52000,304558
53000,311359
54000,317981
55000,325099
56000,332556
57000,339477
58000,346406
59000,352662
60000,360353
